user,date,text,favorite_count,hashtags,user_loc
BellGableStable,Thu Apr 23 18:18:58 +0000 2020,"#bankofamerica yesterday, ""you have an SBA # and have been approved, congratulations"".  Today, no funds, now messag… https://t.co/bNgX5j2nug",0,['bankofamerica'],"Wilmington, DE"
cinepunx,Thu Apr 23 17:05:44 +0000 2020,RT @the_LVAC: I applied for the PPP at 9am on April 3rd through #BankofAmerica. The first hour of the first day they opened applications. I…,0,['BankofAmerica'],"Philadelphia, PA"
jlb171717,Thu Apr 23 16:14:30 +0000 2020,#bankofamerica #fabriziogallo how you treated your employees during the earlier weeks of COVID is shameful! #Karma,0,"['bankofamerica', 'fabriziogallo', 'Karma']",
millionssold,Thu Apr 23 16:02:44 +0000 2020,"RT @Reenies: SBA did not prioritize any businesses, banks made lists of who received funding first. watching closely . A lot of big banks a…",0,[],"Melbourne, FL"
KuchenApple,Thu Apr 23 15:47:49 +0000 2020,@TylerW75610648 @BankofAmerica Anyone who continues to do business with #BankofAmerica deserves this shit! LMFAO,0,['BankofAmerica'],USA
azhar_sarwar,Thu Apr 23 15:27:52 +0000 2020,#bankofamerica This bank is just slow and incompetent to handle straight forward process. https://t.co/GqZbSiegBq,1,['bankofamerica'],United States
tquad64,Thu Apr 23 15:15:07 +0000 2020,@ChrisCuomo Hell no! Greedy @BankofAmerica #bankofamerica #Fees #COVID19,0,"['bankofamerica', 'Fees', 'COVID19']","San Francisco, CA"
Tickeron,Thu Apr 23 15:01:45 +0000 2020,"$BAC enters a Downtrend because Momentum Indicator dropped below the 0 level on April 22, 2020. View odds for this… https://t.co/97EgQweH7K",0,[],"Sunnyvale, CA"
BrianKGillman,Thu Apr 23 14:31:29 +0000 2020,"#TBT 
Don't complain about rates
Look at these @BankofAmerica interest rates from 2006 👀
.
#bankofamerica… https://t.co/DVBYbdyzoc",1,"['TBT', 'bankofamerica']","Pleasanton, Ca"
MinteractApp,Thu Apr 23 14:25:20 +0000 2020,#Options Flow Grid Update $BAC #OptionsTrading #bankofamerica Shares Up 1.7% to $22.18 #BoA #banking #Bank… https://t.co/WKV8lYJFZW,0,"['Options', 'OptionsTrading', 'bankofamerica', 'BoA', 'banking', 'Bank']","California, USA"
Reenies,Thu Apr 23 14:21:54 +0000 2020,"SBA did not prioritize any businesses, banks made lists of who received funding first. watching closely . A lot of… https://t.co/9oEXlchj5t",3,[],Florida
gaoconnor,Thu Apr 23 14:03:53 +0000 2020,RT @memeteena: #bankofamerica You win! I give up! Your plot to ruin my life is working and I salute you.,0,['bankofamerica'],
JimJachetta,Thu Apr 23 14:03:26 +0000 2020,@marcuslemonis Thank you. You are a patriot. I'm a +30 year @BankofAmerica customer &amp; small Busines owner. We recei… https://t.co/8WSkJt6nAv,1,[],"Los Angeles, CA"
JimJachetta,Thu Apr 23 13:54:20 +0000 2020,@BankofAmerica #bankofamerica  were is the small business #PaycheckProtectionProgram  money? It seems only small ba… https://t.co/DoTavUeDz6,0,"['bankofamerica', 'PaycheckProtectionProgram']","Los Angeles, CA"
memeteena,Thu Apr 23 13:49:08 +0000 2020,#bankofamerica You win! I give up! Your plot to ruin my life is working and I salute you.,2,['bankofamerica'],
hmuller61,Thu Apr 23 13:47:15 +0000 2020,"We own three small businesses, an ""indie"" bookstore, a café, and a day spa. Hammered by #COVID19. Denied by… https://t.co/rJUzgiKSbi",1,['COVID19'],"San Diego, CA"
FactProfile,Thu Apr 23 13:10:34 +0000 2020,#Fact Banks like #Chase #hsbc #bankofamerica and more should freeze all interest fees and severe penalties..… https://t.co/3ppX0TCbVI,0,"['Fact', 'Chase', 'hsbc', 'bankofamerica']","New York, NY"
cashgiveskayla,Thu Apr 23 13:00:10 +0000 2020,Invest today and profit today!!! DM now to get started!!! This will be the best investment you will ever make in yo… https://t.co/WD9Iz7WKPj,1,[],United States
MovesNotMovies,Thu Apr 23 12:57:22 +0000 2020,"@BankofAmerica #brianmoynihan #bankofamerica #PPPloans #PPPFail 
I applied the first day I could. 
I’ve been a bank… https://t.co/5J453uShZT",1,"['brianmoynihan', 'bankofamerica', 'PPPloans', 'PPPFail']","Wallingford, CT"
