,user,date,text,favorite_count,hashtags,user_loc
34,windwalk3r,Tue Apr 21 04:12:56 +0000 2020,"#JpMorganChase siphoning off small business rescue loans to big businesses. 
#criminal

https://t.co/yRLvP8EmeK",0,"['JpMorganChase', 'criminal']",
35,littleprinceJD,Tue Apr 21 02:52:57 +0000 2020,"⁦@nomiprins⁩ - What does the implosion looks like?  

⁦@ChrisLynnHedges⁩ #CrudeOil #CrudeMeltdown #StockMarket… https://t.co/f7tJ4DTGDh",0,"['CrudeOil', 'CrudeMeltdown', 'StockMarket']",
36,BokerJane,Tue Apr 21 02:05:29 +0000 2020,"@gtconway3d In front of our eyes, another corrupt abomination. Who isn’t disgusted?! #JPMorganChase #ShakeShack",0,"['JPMorganChase', 'ShakeShack']",
37,susan_z_kat,Mon Apr 20 23:05:44 +0000 2020,"RT @kadajoza: A series of lawsuits filed on behalf of small business owners filed on Sunday accuses some of the nation’s biggest banks, inc…",0,[],SRQ
38,kadajoza,Mon Apr 20 23:02:51 +0000 2020,A series of lawsuits filed on behalf of small business owners filed on Sunday accuses some of the nation’s biggest… https://t.co/9vH3cNhTRa,1,[],RED in a SEA of Blue  
39,DPPrendergast,Mon Apr 20 20:13:52 +0000 2020,@SpeakerPelosi @chuckschumer @senatemajldr @GOPLeader @realDonaldTrump This time let's REALLY help small businesses… https://t.co/PLZZDapQfS,0,[],
40,mcarucci,Mon Apr 20 19:42:17 +0000 2020,"JPMorgan Chase tightens mortgage lending standards amid uncertainty.

https://t.co/cc7cZ7Koji

#MichaelCarucci… https://t.co/9ONo16PoTU",0,['MichaelCarucci'],Boston MA.
41,MichaelCarucci_,Mon Apr 20 19:37:33 +0000 2020,"JPMorgan Chase tightens mortgage lending standards amid uncertainty.

https://t.co/7ollBhjPKL

#MichaelCarucci… https://t.co/prOxe8ieyn",0,['MichaelCarucci'],Boston
42,mclozano1111,Mon Apr 20 18:09:59 +0000 2020,"clients of #JPMorganChase, #WallStreet banks helping  clients obtain large amounts. Bank put out a statement  sayin… https://t.co/wy8CxCURDb",0,"['JPMorganChase', 'WallStreet']",Hallandale Beach
43,LaurenLDias,Mon Apr 20 17:23:41 +0000 2020,"#NFLDraft prospects! If you are considering using a Financial Advisor at a large bank, think again! They are NOT wo… https://t.co/q0HWQtDq8V",1,['NFLDraft'],United States
